0s	11851	12074	12091	12396	11657	10735	11739	11584	10820	11390	11467	11135	13907	13268	13656	14392	12968	12976	12685	12957	13086	12546	13355	13320	14009	14960	14245	14580	14756	14448	15076	14438	14253	16242	14799	14365	17049	16904	16640	15862	15615	15620	16838	16826	15967	16906	15536	16731	16743	17983	17175	15479	16286	16472	17666	17768	17045	17661	18129	16756	18352	17873	19016	17254	19164	17926	17735	24427	18927	18994	18397	20085	20407	20054	20900	19263	20545	21068	19627	20132	19361	20307	19898	19673	19010	21172	21185	22742	21078	20351	20709	20785	20206	20540	29885	20101	
737s	10914	11790	11638	11419	10981	10471	10312	10606	10996	10981	10677	9899	13325	12634	12839	13574	12195	12388	11954	11146	11950	11822	12233	11699	13655	13803	13786	14907	13009	13433	13400	13841	13019	14170	13259	13646	14521	14989	15341	15165	14793	15229	14815	14380	15548	15135	15176	15085	15515	17671	16110	16108	15678	15396	15998	16596	15811	15908	16275	16728	17067	18530	17395	17086	17316	16936	16769	22663	17364	17730	17491	17216	18525	18977	20151	19226	18158	19953	17869	19337	17716	18805	18649	19175	18680	19613	19768	20050	19058	20217	18084	19038	19754	20079	28222	18321	
1473s	9857	11794	11095	10050	10057	10222	9365	10199	10176	9294	9778	9750	11679	12028	12415	12708	12648	11603	12044	11848	11371	10676	11378	11138	13090	13278	13601	13278	13118	12938	12708	12449	12792	13174	13983	12922	13914	15500	14711	15270	14039	13519	13884	14791	14841	14447	13915	14024	16100	16559	15781	15358	16951	14882	15875	17005	15561	15929	16335	16491	16642	17578	17493	17881	16450	16735	15829	22662	15936	17243	15588	16107	19095	17632	20123	19400	18415	19343	17581	19050	17589	17934	17950	17409	17734	18090	18635	20561	19406	18776	18240	18779	19378	18140	27687	18404	
2210s	10665	10022	10236	10229	9740	9399	9614	9853	10062	10353	9801	9334	11127	12823	11944	12106	11370	11828	11222	10781	11474	11384	11624	12474	12791	12648	13435	14099	12793	12187	13049	11999	12209	13359	12751	12975	13935	15106	14409	14276	14267	13353	13982	14538	15534	14911	13549	14236	15147	15533	15067	15757	15890	14416	14767	15466	14995	16009	15514	15394	16609	17154	16994	16050	16433	15913	15984	22911	16715	16796	16614	16503	17964	17480	19321	19093	17804	18986	16762	18738	16519	17852	17949	18146	18806	18659	19500	19865	18221	17848	17752	18797	18487	18370	28113	18871	
2946s	10242	9510	10600	10565	9542	9402	9485	9884	9943	9776	9295	10062	11062	11733	11450	12398	11270	11630	11391	11077	10646	11449	11396	12432	12577	12255	12595	12505	12432	12309	12120	12822	12734	12802	12273	12713	13802	14099	13543	14781	13940	14346	13120	14126	14718	13964	13701	14270	15058	15258	15602	14626	14567	14499	14649	16085	14308	15925	15019	15218	15039	16184	16975	15911	16448	15458	15828	21891	15924	16761	15813	16313	18936	17536	19227	19124	17206	17957	16319	17829	18007	18292	17670	16500	16901	19099	19241	19261	18978	19388	17323	18878	17672	18404	27770	19873	
3683s	9220	9495	10982	10468	9646	9625	10145	9452	9938	8964	9196	9796	10942	11619	11624	11466	11817	11228	10769	10368	11246	10922	11421	10826	12235	12048	12371	12961	12608	12250	11542	12456	11968	13072	12172	12314	13217	13581	13776	14406	13400	14083	14068	13862	13627	13047	13791	14057	14008	15778	15965	13917	15186	14868	15304	15152	15311	14971	16012	15619	15373	16737	15695	16528	16591	16379	14913	22602	17193	15937	16988	16578	16664	17300	18563	17065	17352	17711	16114	18913	17322	17395	18087	16940	17177	19582	18758	18666	17880	18699	18175	19245	18743	19013	27063	18975	
4419s	8531	10103	9748	9739	9651	9436	9343	8599	9055	8360	9224	8983	10485	11439	11291	12817	10988	10498	10948	10789	10089	10661	11232	10797	12056	11868	12657	13007	11549	12001	12266	12753	12255	12269	12676	12998	12938	14371	13693	13777	13134	12953	13766	14040	13893	13131	13134	12973	14271	15352	15268	15093	14952	14657	14342	14509	14682	15846	15350	14605	14533	16263	16907	15726	16506	15985	15602	20646	16887	15690	16094	17570	17441	16392	18171	16811	16889	18473	15721	17984	16290	16828	18558	17045	17868	19778	19198	17978	17605	18069	17988	18482	18483	18504	26956	17242	
5155s	8946	9456	10176	10103	9308	9245	9757	9193	8433	9275	8837	10003	11315	10787	11266	11336	11268	11190	10370	10644	9669	10509	11583	11202	11620	12161	12255	11448	11925	11243	11752	11452	11559	12056	12552	12853	13406	13938	14107	13513	12595	12896	13094	13077	13689	13212	14294	13555	13866	15695	15012	14777	14792	14406	15007	15953	14928	13880	15141	14872	14771	15757	15194	16065	16014	15440	14667	21338	15225	16444	15487	16779	17629	17115	18196	18176	17168	18774	16551	18365	17549	18602	16963	18196	18121	17832	18591	18021	17773	17806	17710	18350	18083	19008	26182	18645	
5892s	8212	8478	10671	9331	9271	9026	8550	8768	8904	9145	9344	8958	10258	11850	11401	11543	10262	10567	10954	10319	10284	10603	10870	10656	11637	11946	12319	12144	11571	11493	10865	11541	11632	11743	12616	12362	12545	12857	13675	13019	12924	12717	13105	13196	14003	13847	13674	13392	13486	14408	14974	14159	14372	14147	15322	15415	13855	14680	14645	15014	15362	15467	15957	15712	15561	15762	14408	21093	14928	16125	16103	16629	17045	16962	17202	17001	16221	18412	16267	17412	16835	17537	17251	17719	16192	18273	18993	17886	18271	19069	17974	18648	18779	18440	27154	18197	
6628s	8596	8707	9708	8623	9143	8754	8757	8615	8871	8662	8595	8782	10092	10841	10912	11076	10312	10063	9741	10448	9745	11175	10428	11461	11140	11776	12119	11941	12231	11841	11302	11543	11876	12255	11693	12762	12227	13573	13570	13315	13485	14397	12796	13481	14196	13578	13296	14430	13586	15079	15631	14763	14929	14340	14197	15498	14694	14658	15847	14085	13866	16451	15640	16258	17197	15951	14977	21759	16402	15370	17207	16836	17189	16096	18607	17101	16878	18965	16268	17454	16951	17163	17826	17015	16487	18518	18309	17893	18287	18710	17461	18683	18727	18450	26450	18637	
